Key,Value
14,"1. Botanical garden
2. Office
3. Spa
4. Suburb
5. University
6. Lighthouse
7. Orchard
8. Tea house
9. Cave
10. Campground
11. Bookstore
12. Beach resort
13. School
14. Workshop

I am en route to Workshop"
0,"1. Botanical garden
2. Office
3. Spa
4. Suburb
5. University
6. Lighthouse
7. Orchard
8. Tea house
9. Cave
10. Campground
11. Bookstore
12. Beach resort
13. School

I'm going to Workshop"
2,"1. Hospital
2. Campground
3. Coffee shop
4. Daycare
5. Orchard
6. Sun
7. Factory
8. Farmers' market
9. Concert hall
10. Jungle
11. Town
12. Office
13. Jupiter
14. Castle
15. Planetarium
7. Factory
17. River
18. Volcano
19. University
20. City

I'm heading towards Campground"
0,"1. Hospital
2. Coffee shop
3. Daycare
4. Orchard
5. Sun
6. Factory
7. Farmers' market
8. Concert hall
9. Jungle
10. Town
11. Office
12. Jupiter
13. Castle
14. Planetarium
6. Factory
16. River
17. Volcano
18. University
19. City

I'm entering Campground"
7,"1. Suburb
2. Wildlife sanctuary
3. Cabin
4. Amusement park
5. Television studio
6. College
7. Restaurant
8. Haunted house

I set out for Restaurant"
0,"1. Suburb
2. Wildlife sanctuary
3. Cabin
4. Amusement park
5. Television studio
6. College
7. Haunted house

I venture to Restaurant"
10,"1. Volcano
2. Coffee shop
3. Cabin
4. Lighthouse
5. Concert hall
6. Mountain
7. Cave
8. Airport
9. Bakery
10. Hospital
11. Winery
12. Microbrewery
13. Factory
14. Shopping mall
15. Workshop
16. Circus

I'm making my way to Hospital"
0,"1. Volcano
2. Coffee shop
3. Cabin
4. Lighthouse
5. Concert hall
6. Mountain
7. Cave
8. Airport
9. Bakery
10. Winery
11. Microbrewery
12. Factory
13. Shopping mall
14. Workshop
15. Circus

I'm traveling to Hospital"
16,"1. Jupiter
2. Forest
3. City
4. Shopping mall
5. Cinema
6. Campsite
7. Ice cream parlor
8. Tea house
9. Daycare
10. Town
11. Microbrewery
2. Forest
13. Farm market
14. Moon
15. River
16. Skyscraper
17. Television studio
18. Concert hall
19. College

I'm entering Skyscraper"
0,"1. Jupiter
2. Forest
3. City
4. Shopping mall
5. Cinema
6. Campsite
7. Ice cream parlor
8. Tea house
9. Daycare
10. Town
11. Microbrewery
2. Forest
13. Farm market
14. Moon
15. River
16. Television studio
17. Concert hall
18. College

I'm making my way towards Skyscraper"
4,"1. Suburb
2. Beach
3. Jupiter
4. Wetland

I'm traveling towards Wetland"
0,"1. Suburb
2. Beach
3. Jupiter

I'm setting off to Wetland"
5,"1. Art gallery
2. Garden
3. Island
4. Lighthouse
5. Forest
6. Cinema

I go to Forest"
0,"1. Art gallery
2. Garden
3. Island
4. Lighthouse
5. Cinema

I'm about to walk to Forest"
1,"1. Cabin
2. Planet
3. Village
4. College
5. Library
6. Cemetery
7. Botanical garden
8. Lighthouse

I advance to Cabin"
0,"1. Planet
2. Village
3. College
4. Library
5. Cemetery
6. Botanical garden
7. Lighthouse

I'm navigating to Cabin"
1,"1. Haunted house
2. Hospital
3. Library
4. Rainforest
5. School
6. Wildlife sanctuary
7. Factory

I'm venturing to Haunted house"
0,"1. Hospital
2. Library
3. Rainforest
4. School
5. Wildlife sanctuary
6. Factory

I'm advancing to Haunted house"
7,"1. Underwater cave
2. Library
3. Campsite
4. Cave
5. Hospital
6. City
7. Campground
8. Art gallery
9. Amusement park
10. Lab
11. Wetland
12. Radio station
13. Castle
14. Sculpture park
15. Cemetery
16. Kindergarten
17. Office
18. Sun
19. Safari park
20. Television studio

I'm stepping into Campground"
0,"1. Underwater cave
2. Library
3. Campsite
4. Cave
5. Hospital
6. City
7. Art gallery
8. Amusement park
9. Lab
10. Wetland
11. Radio station
12. Castle
13. Sculpture park
14. Cemetery
15. Kindergarten
16. Office
17. Sun
18. Safari park
19. Television studio

I'm marching towards Campground"
13,"1. Concert hall
2. Movie theater
3. Coffee shop
4. Forest
5. Museum
6. Park
7. School
8. Haunted house
9. Campground
10. College
11. Wildlife sanctuary
12. Library
13. Castle
14. Volcano
15. Lake
16. Carnival
17. Skyscraper

I'm en route to Castle"
0,"1. Concert hall
2. Movie theater
3. Coffee shop
4. Forest
5. Museum
6. Park
7. School
8. Haunted house
9. Campground
10. College
11. Wildlife sanctuary
12. Library
13. Volcano
14. Lake
15. Carnival
16. Skyscraper

I'm journeying towards Castle"
3,"1. Lab
2. Winery
3. Jungle
4. Office
5. Ice cream parlor
6. Wildlife sanctuary
7. Cabin

I'm making a trip to Jungle"
0,"1. Lab
2. Winery
3. Office
4. Ice cream parlor
5. Wildlife sanctuary
6. Cabin

I'm on the way to Jungle"
13,"1. Rainforest
2. Historical site
3. Cruise ship
4. Haunted house
5. Vineyard
6. Sun
7. Underwater cave
8. Farm market
9. Campground
10. Daycare
11. Office building
12. Hospital
13. Cafe
14. Lake
15. Beach
16. Movie theater
17. Concert hall
18. Radio station
19. Jungle
20. Moon

I make my way to Cafe"
0,"1. Rainforest
2. Historical site
3. Cruise ship
4. Haunted house
5. Vineyard
6. Sun
7. Underwater cave
8. Farm market
9. Campground
10. Daycare
11. Office building
12. Hospital
13. Lake
14. Beach
15. Movie theater
16. Concert hall
17. Radio station
18. Jungle
19. Moon

I'm marching towards Cafe"
4,"1. Cemetery
2. Museum
3. Beach
4. Shopping mall
5. Concert hall
6. Kindergarten
7. Office building
8. Aquarium

I'm setting out for Shopping mall"
0,"1. Cemetery
2. Museum
3. Beach
4. Concert hall
5. Kindergarten
6. Office building
7. Aquarium

I'm making my way to Shopping mall"
1,"1. Forest
2. Desert
3. Farm

I'm venturing towards Forest"
0,"1. Desert
2. Farm

I'm on the way to Forest"
