Key,Value
0,"1. Room
2. Penelope
3. Aria

What kind of furniture is in the room?"
1,"1. Room
2. Penelope
3. Aria

What is Penelope's favorite hobby?"
2,"1. Room
2. Penelope
3. Aria

What type of music does Aria like?"
0,"1. Room
2. Alexander
3. Mila
4. John
5. Liam
6. Brooklyn

What type of furniture is in this room?"
1,"1. Room
2. Alexander
3. Mila
4. John
5. Liam
6. Brooklyn

What does Alexander do for a living?"
2,"1. Room
2. Alexander
3. Mila
4. John
5. Liam
6. Brooklyn

What is Mila's favorite hobby?"
3,"1. Room
2. Alexander
3. Mila
4. John
5. Liam
6. Brooklyn

What does John enjoy doing for leisure?"
4,"1. Room
2. Alexander
3. Mila
4. John
5. Liam
6. Brooklyn

What interests does Liam have?"
5,"1. Room
2. Alexander
3. Mila
4. John
5. Liam
6. Brooklyn

What is Brooklyn's favorite activity?"
0,"1. Room
2. Gabriella
3. Victoria
4. Layla
5. Jonathan

What is the temperature in the room?"
1,"1. Room
2. Gabriella
3. Victoria
4. Layla
5. Jonathan

What kind of things does Gabriella like to do in her free time?"
2,"1. Room
2. Gabriella
3. Victoria
4. Layla
5. Jonathan

What is Victoria's favorite hobby?"
3,"1. Room
2. Gabriella
3. Victoria
4. Layla
5. Jonathan

What does Layla do for work?"
4,"1. Room
2. Gabriella
3. Victoria
4. Layla
5. Jonathan

What type of work does Jonathan do?"
0,"1. Room
2. Claire
3. Layla
4. Samuel
5. Henry
6. Noah

What is the temperature in the room?"
1,"1. Room
2. Claire
3. Layla
4. Samuel
5. Henry
6. Noah

What does Claire do for a living?"
2,"1. Room
2. Claire
3. Layla
4. Samuel
5. Henry
6. Noah

What is Layla's favorite hobby?"
3,"1. Room
2. Claire
3. Layla
4. Samuel
5. Henry
6. Noah

What does Samuel do for a living?"
4,"1. Room
2. Claire
3. Layla
4. Samuel
5. Henry
6. Noah

What is Henry's favorite hobby?"
5,"1. Room
2. Claire
3. Layla
4. Samuel
5. Henry
6. Noah

""What has Noah been working on lately?"""
0,"1. Room
2. Nicholas
3. Leah
4. Gabriella

What is the size of the room?"
1,"1. Room
2. Nicholas
3. Leah
4. Gabriella

What does Nicholas like to do in his free time?"
2,"1. Room
2. Nicholas
3. Leah
4. Gabriella

""What is your favorite thing about Leah?"""
3,"1. Room
2. Nicholas
3. Leah
4. Gabriella

Do you know how long Gabriella has worked in this room?"
0,"1. Room
2. Caleb
3. Benjamin
4. Nova
5. Daniel

What type of lighting is in the room?"
1,"1. Room
2. Caleb
3. Benjamin
4. Nova
5. Daniel

Are you related to anyone else in the room?"
2,"1. Room
2. Caleb
3. Benjamin
4. Nova
5. Daniel

What does Benjamin do for work?"
3,"1. Room
2. Caleb
3. Benjamin
4. Nova
5. Daniel

What is Nova's favorite hobby?"
4,"1. Room
2. Caleb
3. Benjamin
4. Nova
5. Daniel

What is Daniel's favorite hobby?"
0,"1. Room
2. Levi
3. Alexander
4. Penelope
5. Lucas
6. Hannah

What type of flooring does the room have?"
1,"1. Room
2. Levi
3. Alexander
4. Penelope
5. Lucas
6. Hannah

What does Levi enjoy doing in his free time?"
