sentences,labels
How did you get in this room?,0
Who are the people in this room?,0
What is the purpose of this room?,0
How long have you been in this room?,0
What kind of furniture is in this room?,0
What décor does this room have?,0
Is there any art on the walls of this room?,0
Is the temperature comfortable in this room?,0
Is there natural or artificial light in this room?,0
Does this room have a window?,0
Is the floor of this room carpeted or hardwood?,0
What color are the walls of this room?,0
Are there any decorations in this room?,0
Is the ceiling of this room low or high?,0
What kind of architecture is in this room?,0
What is on the ceiling of this room?,0
Is this room soundproof?,0
Does this room have any interesting features?,0
Is this room noisy?,0
What do you think of this room?,0
Do you think this room is suitable for its purpose?,0
Who designed this room?,0
Is this room likely to be used often?,0
What kind of ventilation does this room have?,0
Does this room smell pleasant?,0
How do you feel in this room?,0
What’s the furniture like in this room?,0
Has the furniture in this room been arranged well?,0
Are there any plants in this room?,0
Is there a television in this room?,0
Is there a bar in this room?,0
Are there any rugs in this room?,0
Is there a bookshelf in this room?,0
Did the people in this room choose the furnishings?,0
Is the lighting in this room dim or bright?,0
Is the carpet in this room stained or clean?,0
Are there any mirrors in this room?,0
Are there any curtains in this room?,0
Is there space to move around in this room?,0
Is there a computer in this room?,0
Are there any pillows in this room?,0
Is there a fireplace in this room?,0
Do you like the colors in this room?,0
Is there a fan in this room?,0
Are there any pictures on the walls of this room?,0
Have any of the items in this room been moved?,0
Does this room have an air conditioner?,0
Does this room have an audio system?,0
Has a painting been placed in this room?,0
Does this room have cupboards or drawers?,0
How often is this room used?,0
Who generally uses this room?,0
What kind of upholstery is there in this room?,0
Is there a particular theme to this room?,0
Does the furniture in this room match?,0
Does anything special happen in this room?,0
Is there a closet in this room?,0
Do you like the style of this room?,0
How does the lighting in this room feel?,0
Are there any furniture pieces unique to this room?,0
Does this room have a theme?,0
Are the shelves in this room organized?,0
Is there a rug in this room?,0
Are there any inappropriate items in this room?,0
Is there a chair in this room?,0
Is this room a good place to relax?,0
What type of window treatments are in this room?,0
Are the items in this room arranged neatly?,0
Do the items in this room have any significance?,0
Is this room large or small?,0
Is there a sofa in this room?,0
Who is in charge of this room?,0
Does this room have a desk?,0
Is the architecture of this room ordinary?,0
Are the items in this room appropriate?,0
Is there a chandelier in this room?,0
Does this room have enough seating?,0
Is there a lamp in this room?,0
Is this room usually quiet or loud?,0
Are there any antiques in this room?,0
Is this room spartan or luxurious?,0
How comfortable is this room?,0
Is this room well kept?,0
Is the carpet in this room clean?,0
Is there a window seat in this room?,0
Is this room appropriate for children?,0
Does this room feel pleasant?,0
Are there any special features in this room?,0
Is the lighting in this room warm or cool?,0
Are there activities available in this room?,0
Is this room inviting?,0
What do you think about the furniture in this room?,0
How often is this room ventilated?,0
Are there any interesting items in this room?,0
What kind of flooring is in this room?,0
Are the walls of this room painted?,0
Is there anything unique about this room?,0
Does this room have fresh air?,0
Is the design of this room pleasing?,0
Are there any puzzles in this room?,0
Is the furniture in this room bulky?,0
Is this room accommodating to guests?,0
Are there any personal items in this room?,0
How old is the furniture in this room?,0
Does the furniture in this room show signs of wear?,0
Is there are smell in this room?,0
Is there an oven in this room?,0
Is this room used regularly?,0
Is this room used for special occasions?,0
How much space is there in this room?,0
Are there any outlets in this room?,0
Is this room dusty?,0
Does this room have a washing machine?,0
Are there any wooden fixtures in this room?,0
Is this room well lit?,0
Are there any odd objects in this room?,0
What kind of things do the people in this room do?,0
Is this room organized?,0
What is the décor like in this room?,0
Who uses this room?,0
Is this room suitable for studying?,0
Is there a bed in this room?,0
Are the windows in this room tinted?,0
Is this room painted?,0
Are there any interesting smells in this room?,0
Is this room used for anything other than its intended use?,0
