sentence,place
I go to the Park,Park
I go to the Beach,Beach
I go to the Library,Library
I go to the Museum,Museum
I go to the Restaurant,Restaurant
I go to the Cafe,Cafe
I go to the Movie theater,Movie theater
I go to the Shopping mall,Shopping mall
I go to the Gym,Gym
I go to the School,School
I go to the Office,Office
I go to the Zoo,Zoo
I go to the Concert hall,Concert hall
I go to the Art gallery,Art gallery
I go to the Stadium,Stadium
I go to the Hospital,Hospital
I go to the Farm,Farm
I go to the Farm market,Farm market
I go to the Amusement park,Amusement park
I go to the Spa,Spa
I go to the Mountain,Mountain
I go to the Lake,Lake
I go to the River,River
I go to the Forest,Forest
I go to the Jungle,Jungle
I go to the Desert,Desert
I go to the Countryside,Countryside
I go to the City,City
I go to the Suburb,Suburb
I go to the Village,Village
I go to the Town,Town
I go to the Island,Island
I go to the Skyscraper,Skyscraper
I go to the Cinema,Cinema
I go to the Bookstore,Bookstore
I go to the Factory,Factory
I go to the Workshop,Workshop
I go to the Studio,Studio
I go to the Garden,Garden
I go to the Orchard,Orchard
I go to the Vineyard,Vineyard
I go to the Cemetery,Cemetery
I go to the Castle,Castle
I go to the Historical site,Historical site
I go to the Cave,Cave
I go to the Lighthouse,Lighthouse
I go to the Waterfall,Waterfall
I go to the Cruise ship,Cruise ship
I go to the Train station,Train station
I go to the Airport,Airport
I go to the Space station,Space station
I go to the Underground,Underground
I go to the Planetarium,Planetarium
I go to the Carnival,Carnival
I go to the Circus,Circus
I go to the Wildlife sanctuary,Wildlife sanctuary
I go to the Aquarium,Aquarium
I go to the Botanical garden,Botanical garden
I go to the Coffee shop,Coffee shop
I go to the Tea house,Tea house
I go to the Ice cream parlor,Ice cream parlor
I go to the Bakery,Bakery
I go to the Farmers' market,Farmers' market
I go to the Campground,Campground
I go to the Campsite,Campsite
I go to the Ski resort,Ski resort
I go to the Beach resort,Beach resort
I go to the Safari park,Safari park
I go to the Sculpture park,Sculpture park
I go to the University,University
I go to the College,College
I go to the Kindergarten,Kindergarten
I go to the Daycare,Daycare
I go to the Factory,Factory
I go to the Lab,Lab
I go to the Radio station,Radio station
I go to the Television studio,Television studio
I go to the Office building,Office building
I go to the Observatory,Observatory
I go to the Underwater cave,Underwater cave
I go to the Haunted house,Haunted house
I go to the Winery,Winery
I go to the Microbrewery,Microbrewery
I go to the Planet,Planet
I go to the Moon,Moon
I go to the Sun,Sun
I go to the Jupiter,Jupiter
I go to the Forest,Forest
I go to the Cabin,Cabin
I go to the Rainforest,Rainforest
I go to the Jungle,Jungle
I go to the Wetland,Wetland
I go to the Volcano,Volcano
I head to the Park,Park
I head to the Beach,Beach
I head to the Library,Library
I head to the Museum,Museum
I head to the Restaurant,Restaurant
I head to the Cafe,Cafe
I head to the Movie theater,Movie theater
I head to the Shopping mall,Shopping mall
I head to the Gym,Gym
I head to the School,School
I head to the Office,Office
I head to the Zoo,Zoo
I head to the Concert hall,Concert hall
I head to the Art gallery,Art gallery
I head to the Stadium,Stadium
I head to the Hospital,Hospital
I head to the Farm,Farm
I head to the Farm market,Farm market
I head to the Amusement park,Amusement park
I head to the Spa,Spa
I head to the Mountain,Mountain
I head to the Lake,Lake
I head to the River,River
I head to the Forest,Forest
I head to the Jungle,Jungle
I head to the Desert,Desert
I head to the Countryside,Countryside
I head to the City,City
I head to the Suburb,Suburb
I head to the Village,Village
I head to the Town,Town
I head to the Island,Island
I head to the Skyscraper,Skyscraper
I head to the Cinema,Cinema
I head to the Bookstore,Bookstore
I head to the Factory,Factory
I head to the Workshop,Workshop
I head to the Studio,Studio
I head to the Garden,Garden
I head to the Orchard,Orchard
I head to the Vineyard,Vineyard
I head to the Cemetery,Cemetery
I head to the Castle,Castle
I head to the Historical site,Historical site
I head to the Cave,Cave
I head to the Lighthouse,Lighthouse
I head to the Waterfall,Waterfall
I head to the Cruise ship,Cruise ship
I head to the Train station,Train station
I head to the Airport,Airport
I head to the Space station,Space station
I head to the Underground,Underground
I head to the Planetarium,Planetarium
I head to the Carnival,Carnival
I head to the Circus,Circus
I head to the Wildlife sanctuary,Wildlife sanctuary
I head to the Aquarium,Aquarium
I head to the Botanical garden,Botanical garden
I head to the Coffee shop,Coffee shop
I head to the Tea house,Tea house
I head to the Ice cream parlor,Ice cream parlor
I head to the Bakery,Bakery
I head to the Farmers' market,Farmers' market
I head to the Campground,Campground
I head to the Campsite,Campsite
I head to the Ski resort,Ski resort
I head to the Beach resort,Beach resort
I head to the Safari park,Safari park
I head to the Sculpture park,Sculpture park
I head to the University,University
I head to the College,College
I head to the Kindergarten,Kindergarten
I head to the Daycare,Daycare
I head to the Factory,Factory
I head to the Lab,Lab
I head to the Radio station,Radio station
I head to the Television studio,Television studio
I head to the Office building,Office building
I head to the Observatory,Observatory
I head to the Underwater cave,Underwater cave
I head to the Haunted house,Haunted house
I head to the Winery,Winery
I head to the Microbrewery,Microbrewery
I head to the Planet,Planet
I head to the Moon,Moon
I head to the Sun,Sun
I head to the Jupiter,Jupiter
I head to the Forest,Forest
I head to the Cabin,Cabin
I head to the Rainforest,Rainforest
I head to the Jungle,Jungle
I head to the Wetland,Wetland
I head to the Volcano,Volcano
I visit the Park,Park
I visit the Beach,Beach
I visit the Library,Library
I visit the Museum,Museum
I visit the Restaurant,Restaurant
I visit the Cafe,Cafe
I visit the Movie theater,Movie theater
I visit the Shopping mall,Shopping mall
I visit the Gym,Gym
I visit the School,School
I visit the Office,Office
I visit the Zoo,Zoo
I visit the Concert hall,Concert hall
I visit the Art gallery,Art gallery
I visit the Stadium,Stadium
I visit the Hospital,Hospital
I visit the Farm,Farm
I visit the Farm market,Farm market
I visit the Amusement park,Amusement park
I visit the Spa,Spa
I visit the Mountain,Mountain
I visit the Lake,Lake
I visit the River,River
I visit the Forest,Forest
I visit the Jungle,Jungle
I visit the Desert,Desert
I visit the Countryside,Countryside
I visit the City,City
I visit the Suburb,Suburb
I visit the Village,Village
I visit the Town,Town
I visit the Island,Island
I visit the Skyscraper,Skyscraper
I visit the Cinema,Cinema
I visit the Bookstore,Bookstore
I visit the Factory,Factory
I visit the Workshop,Workshop
